zip,type_of_property,subtype_of_property,price,number_of_rooms,house_area,surface_of_the_land,number_of_facades,swimming_pool,state_of_the_building,commune,province,region,rank
1050,house,house,340000,6,203,95,2,0,to be done up,IXELLES,Bruxelles (19 communes),Région Bruxelles-capitale,564.0
1880,house,villa,525000,6,250,826,4,0,as new,KAPELLE-OP-DEN-BOS,Brabant Flamand,Région flamande,497.0
4900,house,exceptional property,550000,11,475,1543,4,0,good,SPA,Liège,Région wallonne,522.0
7912,house,villa,550000,4,325,3570,4,0,good,FRASNES-LEZ-ANVAING,Hainaut,Région wallonne,340.0
6032,house,house,550000,5,400,616,3,0,as new,CHARLEROI,Hainaut,Région wallonne,19.0
1650,house,villa,525000,4,220,1600,4,0,good,BEERSEL,Brabant Flamand,Région flamande,490.0
1325,house,house,535000,6,303,810,4,0,as new,CHAUMONT-GISTOUX,Brabant Wallon,Région flamande,563.0
4053,house,villa,385000,6,442,2704,3,0,to renovate,CHAUDFONTAINE,Liège,Région wallonne,253.0
1332,house,villa,549000,4,210,2004,4,0,as new,RIXENSART,Brabant Wallon,Région flamande,568.0
8310,house,villa,519000,3,273,591,4,0,as new,BRUGGE,Flandre-Occidentale,Région flamande,467.0
8380,house,house,545000,5,176,712,3,0,good,BRUGGE,Flandre-Occidentale,Région flamande,467.0
8200,house,house,535000,4,200,559,4,0,as new,BRUGGE,Flandre-Occidentale,Région flamande,467.0
1421,house,house,105000,1,82,307,4,0,to renovate,BRAINE-L'ALLEUD,Brabant Wallon,Région flamande,488.0
6730,house,house,520000,5,350,1150,4,0,as new,TINTIGNY,Luxembourg,Région wallonne,302.0
8000,house,house,545000,5,176,712,3,0,good,BRUGGE,Flandre-Occidentale,Région flamande,467.0
4052,house,house,250000,5,200,1660,4,0,good,CHAUDFONTAINE,Liège,Région wallonne,253.0
7062,house,villa,520000,5,377,2000,4,0,good,SOIGNIES,Hainaut,Région wallonne,67.0
1330,house,house,525000,5,291,740,4,0,to be done up,RIXENSART,Brabant Wallon,Région flamande,568.0
7850,house,villa,550000,4,276,1182,4,0,as new,ENGHIEN,Hainaut,Région wallonne,472.0
4020,house,house,85000,2,110,237,3,0,good,LIÈGE,Liège,Région wallonne,83.0
3080,house,house,515000,5,180,300,3,0,as new,TERVUREN,Brabant Flamand,Région flamande,572.0
1700,house,villa,525000,4,260,1540,4,0,good,DILBEEK,Brabant Flamand,Région flamande,487.0
4000,house,house,150000,4,247,227,3,0,good,LIÈGE,Liège,Région wallonne,83.0
4162,house,farmhouse,140000,6,210,28607,3,0,to renovate,ANTHISNES,Liège,Région wallonne,42.0
6860,house,house,535000,3,288,2243,4,0,as new,LÉGLISE,Luxembourg,Région wallonne,121.0
1180,house,house,539000,3,185,170,2,0,to be done up,UCCLE,Bruxelles (19 communes),Région Bruxelles-capitale,549.0
9400,house,house,540000,5,383,487,4,0,good,NINOVE,Flandre-Orientale,Région flamande,267.0
4400,house,farmhouse,545000,6,522,3340,4,0,to be done up,FLÉMALLE,Liège,Région wallonne,81.0
4600,house,house,105000,4,110,509,3,0,to be done up,VISÉ,Liège,Région wallonne,150.0
1082,house,town house,520000,6,250,332,2,0,unknown,BERCHEM-SAINTE-AGATHE,Bruxelles (19 communes),Région Bruxelles-capitale,366.0
7390,house,house,60000,3,124,310,3,0,to renovate,QUAREGNON,Hainaut,Région wallonne,9.0
1970,house,house,520000,4,250,560,3,0,to be done up,WEZEMBEEK-OPPEM,Brabant Flamand,Région flamande,553.0
1970,house,house,545000,3,173,399,2,0,to be done up,WEZEMBEEK-OPPEM,Brabant Flamand,Région flamande,553.0
1180,house,house,520000,3,200,250,2,0,just renovated,UCCLE,Bruxelles (19 communes),Région Bruxelles-capitale,549.0
1930,house,town house,545000,4,250,250,2,0,as new,ZAVENTEM,Brabant Flamand,Région flamande,510.0
1560,house,villa,550000,3,180,675,4,0,as new,HOEILAART,Brabant Flamand,Région flamande,552.0
8670,house,house,530000,4,417,786,3,0,good,KOKSIJDE,Flandre-Occidentale,Région flamande,322.0
4550,house,house,93000,2,180,1756,4,0,good,NANDRIN,Liège,Région wallonne,419.0
6890,house,exceptional property,519000,4,470,2298,4,0,as new,LIBIN,Luxembourg,Région wallonne,368.0
1730,house,villa,529000,4,245,701,4,0,as new,ASSE,Brabant Flamand,Région flamande,341.0
4680,house,farmhouse,530000,6,761,1907,4,0,good,OUPEYE,Liège,Région wallonne,132.0
1180,house,house,550000,6,225,95,3,0,good,UCCLE,Bruxelles (19 communes),Région Bruxelles-capitale,549.0
1190,house,house,550000,6,225,95,3,0,good,FOREST,Bruxelles (19 communes),Région Bruxelles-capitale,473.0
8572,house,villa,550000,5,305,1409,4,0,good,ANZEGEM,Flandre-Occidentale,Région flamande,330.0
9200,house,mixed use building,519000,4,277,210,2,0,unknown,DENDERMONDE,Flandre-Orientale,Région flamande,242.0
1370,house,house,120000,3,164,120,2,0,to renovate,JODOIGNE,Brabant Wallon,Région flamande,489.0
1150,house,mixed use building,550000,3,245,186,2,0,as new,WOLUWE-SAINT-PIERRE,Bruxelles (19 communes),Région Bruxelles-capitale,574.0
4870,house,house,105000,2,120,924,4,0,to be done up,TROOZ,Liège,Région wallonne,46.0
4031,house,house,180000,3,134,600,3,0,good,LIÈGE,Liège,Région wallonne,83.0
1450,house,house,549000,3,245,1052,4,0,good,CHASTRE,Brabant Wallon,Région flamande,469.0
6812,house,bungalow,35000,1,50,585,4,0,to renovate,CHINY,Luxembourg,Région wallonne,130.0
4577,house,house,105000,4,155,1118,3,0,to be done up,MODAVE,Liège,Région wallonne,145.0
4287,house,villa,520000,6,249,1569,4,0,good,LINCENT,Liège,Région wallonne,214.0
5330,house,farmhouse,525000,12,800,2200,4,0,unknown,ASSESSE,Namur,Région wallonne,367.0
1880,house,house,539000,3,230,653,4,0,good,KAPELLE-OP-DEN-BOS,Brabant Flamand,Région flamande,497.0
4261,house,villa,545000,3,272,3210,4,1,good,BRAIVES,Liège,Région wallonne,245.0
5000,house,house,508800,4,170,100,2,0,just renovated,NAMUR,Namur,Région wallonne,258.0
6870,house,house,160000,3,217,1012,4,0,to be done up,SAINT-HUBERT,Luxembourg,Région wallonne,30.0
1933,house,house,545000,3,145,224,2,0,as new,ZAVENTEM,Brabant Flamand,Région flamande,510.0
4020,house,house,50000,3,110,150,2,0,as new,LIÈGE,Liège,Région wallonne,83.0
9870,house,house,310000,4,165,370,2,0,good,ZULTE,Flandre-Orientale,Région flamande,458.0
4920,house,exceptional property,545000,7,500,4531,4,0,good,AYWAILLE,Liège,Région wallonne,148.0
9320,house,villa,535000,4,220,985,4,0,as new,AALST,Flandre-Orientale,Région flamande,227.0
4210,house,house,37500,4,200,4500,4,0,good,BURDINNE,Liège,Région wallonne,147.0
4000,house,house,105000,3,166,747,3,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
1325,house,house,549000,4,150,10,4,0,unknown,CHAUMONT-GISTOUX,Brabant Wallon,Région flamande,563.0
8420,house,house,525000,6,343,125,3,0,good,DE HAAN,Flandre-Occidentale,Région flamande,257.0
2280,house,house,529000,3,193,117800,3,0,good,GROBBENDONK,Anvers,Région flamande,463.0
8420,house,house,549000,3,215,383,3,0,good,DE HAAN,Flandre-Occidentale,Région flamande,257.0
7860,house,villa,535000,5,300,834,4,0,as new,LESSINES,Hainaut,Région wallonne,112.0
7180,house,house,215000,2,145,1130,3,0,to renovate,SENEFFE,Hainaut,Région wallonne,211.0
4470,house,house,38000,2,85,265,3,0,good,SAINT-GEORGES-SUR-MEUSE,Liège,Région wallonne,151.0
4400,house,house,40000,2,100,55,2,0,good,FLÉMALLE,Liège,Région wallonne,81.0
4520,house,house,114000,3,195,3732,3,0,good,WANZE,Liège,Région wallonne,136.0
1480,house,house,150000,2,122,376,3,0,to be done up,TUBIZE,Brabant Wallon,Région flamande,187.0
4053,house,house,225000,3,182,645,3,0,as new,CHAUDFONTAINE,Liège,Région wallonne,253.0
5020,house,house,525000,6,330,1669,4,0,as new,NAMUR,Namur,Région wallonne,258.0
5190,house,house,525000,6,330,1669,4,0,as new,JEMEPPE-SUR-SAMBRE,Namur,Région wallonne,75.0
1020,house,house,545000,6,280,122,2,0,good,BRUXELLES,Bruxelles (19 communes),Région Bruxelles-capitale,494.0
6700,house,house,545000,4,279,1081,4,0,to be done up,ARLON,Luxembourg,Région wallonne,309.0
8300,house,house,545000,3,153,600,4,0,good,KNOKKE-HEIST,Flandre-Occidentale,Région flamande,570.0
1780,house,town house,549000,6,288,522,2,0,good,WEMMEL,Brabant Flamand,Région flamande,524.0
1490,house,villa,100000,4,177,499,4,0,to renovate,COURT-SAINT-ETIENNE,Brabant Wallon,Région flamande,381.0
1420,house,villa,530000,2,150,1000,4,0,good,BRAINE-L'ALLEUD,Brabant Wallon,Région flamande,488.0
2870,house,house,539000,6,239,3218,4,0,good,PUURS-SINT-AMANDS,Anvers,Région flamande,389.0
2018,house,house,545000,4,225,77,2,0,good,ANTWERPEN,Anvers,Région flamande,334.0
4000,house,house,50000,3,160,70,2,0,to renovate,LIÈGE,Liège,Région wallonne,83.0
1400,house,villa,550000,2,135,1394,4,0,good,NIVELLES,Brabant Wallon,Région flamande,284.0
1330,house,villa,545000,5,230,974,4,0,good,RIXENSART,Brabant Wallon,Région flamande,568.0
4000,house,house,60000,4,166,180,2,0,to be done up,LIÈGE,Liège,Région wallonne,83.0
5522,house,mixed use building,525000,12,700,10000,3,0,good,ONHAYE,Namur,Région wallonne,133.0
4041,house,house,75000,2,170,552,3,0,good,HERSTAL,Liège,Région wallonne,93.0
1950,house,house,540000,4,160,366,3,0,good,KRAAINEM,Brabant Flamand,Région flamande,577.0
8301,house,house,550000,4,266,444,2,0,as new,KNOKKE-HEIST,Flandre-Occidentale,Région flamande,570.0
4877,house,house,135000,4,144,843,4,0,good,OLNE,Liège,Région wallonne,264.0
4051,house,bungalow,100000,2,106,495,4,0,to be done up,CHAUDFONTAINE,Liège,Région wallonne,253.0
2520,house,house,515000,4,296,813,3,0,just renovated,RANST,Anvers,Région flamande,528.0
6690,house,manor house,550000,7,380,2338,3,0,unknown,VIELSALM,Luxembourg,Région wallonne,92.0
4130,house,house,40000,3,99,600,3,0,as new,ESNEUX,Liège,Région wallonne,385.0
6460,house,villa,60000,3,280,1800,4,0,good,CHIMAY,Hainaut,Région wallonne,95.0
1330,house,villa,525000,4,230,774,4,0,good,RIXENSART,Brabant Wallon,Région flamande,568.0
4180,house,house,525000,3,165,2731,4,0,unknown,HAMOIR,Liège,Région wallonne,91.0
1780,house,mixed use building,549000,6,288,522,2,0,good,WEMMEL,Brabant Flamand,Région flamande,524.0
1982,house,villa,549000,4,246,1000,4,0,to renovate,ZEMST,Brabant Flamand,Région flamande,521.0
1330,house,villa,550000,4,220,1200,4,0,good,RIXENSART,Brabant Wallon,Région flamande,568.0
9600,house,country cottage,550000,3,204,9950,4,0,to renovate,RENAIX,Flandre-Orientale,Région flamande,137.0
8400,house,house,100000,2,180,96,2,0,as new,OOSTENDE,Flandre-Occidentale,Région flamande,168.0
1090,house,house,549000,4,265,210,2,0,as new,JETTE,Bruxelles (19 communes),Région Bruxelles-capitale,259.0
8500,house,mansion,524000,6,300,205,2,0,as new,KORTRIJK,Flandre-Occidentale,Région flamande,352.0
