zip,commune,province,rank
5670,VIROINVAL,Namur,13.0
1860,MEISE,Brabant Flamand,526.0
9700,OUDENAARDE,Flandre-Orientale,268.0
1370,JODOIGNE,Brabant Wallon,489.0
4520,WANZE,Liège,136.0
6592,MOMIGNIES,Hainaut,3.0
7542,TOURNAI,Hainaut,281.0
5190,JEMEPPE-SUR-SAMBRE,Namur,75.0
5300,ANDENNE,Namur,99.0
3221,HOLSBEEK,Brabant Flamand,512.0
7387,HONNELLES,Hainaut,126.0
1315,INCOURT,Brabant Wallon,361.0
4360,OREYE,Liège,103.0
4577,MODAVE,Liège,145.0
5575,GEDINNE,Namur,63.0
7760,CELLES,Hainaut,142.0
8972,POPERINGE,Flandre-Occidentale,163.0
2242,ZANDHOVEN,Anvers,459.0
1430,REBECQ,Brabant Wallon,338.0
5081,LA BRUYÈRE,Namur,468.0
2970,SCHILDE,Anvers,569.0
2900,SCHOTEN,Anvers,471.0
8554,ZWEVEGEM,Flandre-Occidentale,158.0
6920,WELLIN,Luxembourg,303.0
3510,HASSELT,Limbourg,411.0
9140,TEMSE,Flandre-Orientale,310.0
3080,TERVUREN,Brabant Flamand,572.0
7350,HENSIES,Hainaut,20.0
7971,BELOEIL,Hainaut,347.0
5621,FLORENNES,Namur,76.0
4420,SAINT-NICOLAS,Liège,12.0
6637,FAUVILLERS,Luxembourg,68.0
6941,DURBUY,Luxembourg,194.0
1180,UCCLE,Bruxelles (19 communes),549.0
7812,ATH,Hainaut,104.0
5570,BEAURAING,Namur,38.0
9185,WACHTEBEKE,Flandre-Orientale,420.0
7620,BRUNEHAUT,Hainaut,441.0
6666,HOUFFALIZE,Luxembourg,47.0
7608,PÉRUWELZ,Hainaut,57.0
1861,MEISE,Brabant Flamand,526.0
8470,GISTEL,Flandre-Occidentale,392.0
4780,SAINT-VITH,Liège,58.0
3791,FOURONS,Limbourg,480.0
2310,RIJKEVORSEL,Anvers,533.0
3454,GEETBETS,Brabant Flamand,155.0
9150,KRUIBEKE,Flandre-Orientale,437.0
1703,DILBEEK,Brabant Flamand,487.0
3270,SCHERPENHEUVEL-ZICHEM,Brabant Flamand,195.0
6750,MUSSON,Luxembourg,98.0
9620,ZOTTEGEM,Flandre-Orientale,247.0
5503,DINANT,Namur,138.0
4801,VERVIERS,Liège,72.0
8600,DIKSMUIDE,Flandre-Occidentale,344.0
1740,TERNAT,Brabant Flamand,492.0
4910,THEUX,Liège,291.0
6230,PONT-À-CELLES,Hainaut,108.0
7904,LEUZE-EN-HAINAUT,Hainaut,237.0
6183,COURCELLES,Hainaut,41.0
6960,MANHAY,Luxembourg,373.0
6823,FLORENVILLE,Luxembourg,29.0
5080,LA BRUYÈRE,Namur,468.0
9921,LIEVEGEM,Flandre-Orientale,408.0
2290,VORSELAAR,Anvers,422.0
3890,GINGELOM,Limbourg,146.0
5377,SOMME-LEUZE,Namur,77.0
4280,HANNUT,Liège,198.0
7740,PECQ,Hainaut,278.0
8610,KORTEMARK,Flandre-Occidentale,141.0
8560,WEVELGEM,Flandre-Occidentale,127.0
2222,HEIST-OP-DEN-BERG,Anvers,450.0
5571,BEAURAING,Namur,38.0
3370,BOUTERSEM,Brabant Flamand,486.0
7506,TOURNAI,Hainaut,281.0
1150,WOLUWE-SAINT-PIERRE,Bruxelles (19 communes),574.0
9032,GENT,Flandre-Orientale,496.0
4432,ANS,Liège,66.0
3690,ZUTENDAAL,Limbourg,208.0
2070,ZWIJNDRECHT,Anvers,455.0
